"Status","Progress","durationSec","Finished","ResponseId","introquestion","age","pushnotifications","readarticles","topicsinterested","distressed_EUPolitics","distressed_crimes","distressed_israelPalestine","distressed_immigration","distressed_sports","distressed_war","distressed_climateChange","distressed_showArts","distressed_covid","distressed_britishBrexit","distressed_instAbuse","distressed_spaceTravel","distressed_protest","distressed_terrorism","distressed_USPolitics","distressed_naturalDisasters","distressed_elections","distressed_economy","guard_suicide","guard_accidents","guard_physicalAbuse","guard_sexualAbuse","guard_selfHarm","guard_depression","guard_racism","guard_LGBTQ","guard_eatingDisorders","guard_disability","guard_animalCruelty","guard_other1","guard_other1_text","guard_other2","guard_other2_text","guard_other3","guard_other3_text","additional"
"Spam",100,15,TRUE,"R_1Cr34OKpKXq6nKU","Yes, continue the survey",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,192,TRUE,"R_2rHoMvRX8Ieci9Z","Yes, continue the survey",23,"Once per week","2-3 times per week","Climate change,Show business & Arts,COVID-19,Institutional abuse,Protests,Terrorism,Natural disasters,Elections",NA,67,NA,32,NA,21,28,7,44,NA,22,NA,46,59,NA,86,12,5,100,15,22,100,45,NA,0,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,11,TRUE,"R_2UYF8v6VYqJsp2Q","Yes, continue the survey",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,15,TRUE,"R_rlGarb02ekceQCJ","Yes, continue the survey",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spam",100,14,TRUE,"R_2eQDK0L1atz9eLn","Yes, continue the survey",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,155,TRUE,"R_DAUOEFPmB3D0dVL","Yes, continue the survey",29,"Never","2-3 times per week","EU politics,Economy",33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,63,12,63,63,35,13,13,2,3,3,3,NA,NA,NA,NA,NA,NA,"Related to wars"
"IP Address",100,175,TRUE,"R_1FIXo0OVnJIuL73","Yes, continue the survey",23,"2-3 times per week","Once per week","EU politics,Sports,Protests,Elections,Economy",100,100,35,51,0,100,100,14,73,56,100,0,85,100,73,100,75,79,NA,0,NA,0,0,0,8,0,NA,NA,0,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,177,TRUE,"R_3skzf94dAlscujL","Yes, continue the survey",22,"Multiple times per day","Every day","EU politics,Crimes,Economy",47,63,48,6,0,94,100,0,65,52,74,2,3,67,48,78,39,74,10,66,67,66,0,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,112,TRUE,"R_Ry88OmaGa2h5e4F","Yes, continue the survey",24,"Once per week","Never","Crimes,Immigration,Terrorism",NA,100,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,341,TRUE,"R_1pRvTAACK8ITeH1","Yes, continue the survey",19,"Never","Never","EU politics,Climate change,Show business & Arts",100,57,82,17,NA,100,77,15,37,NA,99,NA,84,49,30,88,25,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,144,TRUE,"R_30d76mux4AjyXzF","Yes, continue the survey",26,"Never","Once per week","Crimes,Sports,Show business & Arts,Natural disasters",NA,74,68,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,212,TRUE,"R_2VKMcyJj1oOxbhh","Yes, continue the survey",25,"Never","2-3 times per week","Crimes,Climate change,Show business & Arts,Space-travel,Protests,Natural disasters",25,51,26,39,0,26,52,0,62,NA,43,20,26,36,29,24,26,22,55,47,57,61,68,37,77,50,33,28,27,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,154,TRUE,"R_1hJPsbYXxMO6b84","Yes, continue the survey",24,"Every day","Every day","EU politics,Immigration,Sports,Institutional abuse,US politics,Economy",45,86,41,96,15,86,100,0,0,0,100,0,8,55,61,36,21,100,52,11,19,8,88,81,100,100,NA,4,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,165,TRUE,"R_3EBjkwLlXYontg5","Yes, continue the survey",22,"Never","2-3 times per week","Sports,Climate change,COVID-19,Institutional abuse,Protests,Terrorism,Natural disasters,Elections",52,52,92,30,0,86,100,0,23,58,92,62,68,78,92,68,27,11,32,0,17,19,46,20,4,9,33,33,74,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,155,TRUE,"R_1B5okJRAXq37dEB","Yes, continue the survey",26,"Every day","2-3 times per week","Sports,Show business & Arts,Protests,Natural disasters,Elections,Economy",NA,NA,0,NA,19,18,NA,NA,NA,NA,NA,NA,17,13,NA,29,12,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,356,TRUE,"R_3iyGkFWhJR07NTJ","Yes, continue the survey",29,"Never","Multiple times per day","EU politics,US politics,Elections,Economy",16,93,92,12,0,37,85,15,21,NA,100,8,6,92,100,14,100,100,74,6,83,83,86,83,4,9,92,90,96,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,194,TRUE,"R_2xQcJzNxZlcnwZ7","Yes, continue the survey",27,"Every day","Once per week","Climate change,Show business & Arts,COVID-19,Economy",NA,100,49,0,NA,77,56,0,100,24,41,NA,43,71,NA,70,NA,31,100,NA,NA,NA,100,49,0,45,98,48,99,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,208,TRUE,"R_27OrQWUDhUj6kdC","Yes, continue the survey",22,"Multiple times per day","Multiple times per day","EU politics,Crimes,Immigration,(Ukrainian) War,Climate change,Show business & Arts,COVID-19,Britsh politics / Brexit,Institutional abuse,Space-travel,Protests,Terrorism,US politics,Natural disasters,Elections,Economy",67,88,0,88,NA,100,77,3,82,62,80,4,59,92,90,89,88,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"IP Address",100,194,TRUE,"R_3nU7l29CGDjltd6","Yes, continue the survey",29,"Once per week","Once per week","EU politics,Crimes,Show business & Arts,Natural disasters",79,96,46,40,3,81,76,11,18,4,39,37,38,100,15,65,14,22,22,18,25,23,25,32,23,25,24,19,20,NA,NA,NA,NA,NA,NA,"F1 results"
"IP Address",100,188,TRUE,"R_sT43PEOjdQOZMhH","Yes, continue the survey",26,"Never","2-3 times per week","Crimes,Natural disasters",49,80,NA,51,NA,67,40,NA,87,NA,NA,NA,NA,100,46,98,33,71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,244,TRUE,"R_1jNVxf8XSDf6LcY","Yes, continue the survey",23,"2-3 times per week","Never","Crimes,Show business & Arts",51,NA,32,80,6,60,47,NA,72,NA,18,NA,38,67,NA,54,NA,79,54,NA,NA,NA,51,66,83,NA,100,55,49,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,304,TRUE,"R_31hLdcDZdYc0vdC","Yes, continue the survey",24,"2-3 times per week","2-3 times per week","Crimes,Immigration,Institutional abuse,Economy",NA,NA,39,NA,NA,47,50,NA,NA,NA,NA,NA,NA,61,NA,15,0,NA,31,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,100,TRUE,"R_D2XXqP6gxVaJTCp","Yes, continue the survey",28,"Every day","2-3 times per week","EU politics,Crimes,Sports,Show business & Arts,COVID-19,Institutional abuse,Protests,US politics,Natural disasters,Elections,Economy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,334,TRUE,"R_3KGSVFzzJFhNeSy","Yes, continue the survey",26,"Once per week","2-3 times per week","Crimes,Immigration,Sports,Climate change,Protests,Terrorism,Natural disasters,Economy",56,NA,55,20,NA,51,NA,NA,30,30,19,NA,NA,NA,13,NA,15,NA,NA,NA,NA,NA,NA,15,NA,9,NA,12,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,113,TRUE,"R_2tbZSKmn33gx2iw","Yes, continue the survey",19,"Never","Never","Crimes",NA,NA,NA,0,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,100,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,461,TRUE,"R_2wsQbi1mEdrbl5z","Yes, continue the survey",23,"Every day","2-3 times per week","EU politics,Sports,(Ukrainian) War,Climate change,Show business & Arts,Terrorism,Natural disasters,Elections",100,37,12,49,5,100,73,24,100,4,100,0,91,62,100,100,100,53,48,48,0,25,6,26,47,46,12,0,81,NA,NA,NA,NA,NA,NA,"Weird illnesses (like parasites)"
"IP Address",100,161,TRUE,"R_1li9g6N30GG1CmR","Yes, continue the survey",26,"2-3 times per week","Every day","EU politics,Crimes,(Ukrainian) War,COVID-19,Protests,Elections,Economy",NA,65,NA,NA,0,69,0,NA,81,NA,NA,NA,19,47,0,NA,NA,NA,1,100,NA,100,NA,NA,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,712,TRUE,"R_2dRwkL9ORWre1U4","Yes, continue the survey",26,"Never","Multiple times per day","Crimes,Show business & Arts,Protests",NA,64,100,76,NA,70,50,NA,NA,NA,47,NA,41,83,47,NA,NA,NA,54,56,83,82,82,0,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Injustice"
"IP Address",100,203,TRUE,"R_2trN60UFFAg5nA7","Yes, continue the survey",28,"Multiple times per day","Never","Crimes,Climate change,COVID-19,Protests,Terrorism,US politics,Natural disasters,Elections",NA,72,63,NA,NA,100,100,NA,44,NA,0,NA,51,100,47,65,85,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sexual Child abuse"
"IP Address",100,236,TRUE,"R_2TI42YzMmuGOjji","Yes, continue the survey",20,"2-3 times per week","2-3 times per week","EU politics,Crimes,Climate change,Britsh politics / Brexit,Natural disasters,Elections,Economy",56,55,0,NA,NA,30,31,0,NA,NA,65,NA,NA,42,NA,31,28,30,63,58,57,76,66,33,31,58,50,42,46,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,213,TRUE,"R_snvdHheRdrcQxHj","Yes, continue the survey",25,"2-3 times per week","2-3 times per week","Show business & Arts,Economy",NA,NA,NA,NA,NA,67,62,NA,NA,NA,NA,NA,NA,55,21,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,118,TRUE,"R_3FImCBjVmW9VH9r","Yes, continue the survey",25,"Never","Multiple times per day","Crimes,Show business & Arts,Protests,Natural disasters,Elections",NA,NA,NA,31,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,265,TRUE,"R_24Ixrk21ckiEaWn","Yes, continue the survey",25,"Every day","Once per week","Climate change,COVID-19,Protests,US politics,Natural disasters,Elections,Economy",46,74,69,53,NA,51,74,5,67,30,42,2,85,64,74,78,60,37,48,49,66,65,65,6,5,5,31,6,7,NA,NA,NA,NA,NA,NA,"Legal battles against human rights, human right violations, and police brutality"
"IP Address",100,168,TRUE,"R_Rz4GpcQsWxtFPjP","Yes, continue the survey",22,"Every day","2-3 times per week","EU politics,(Ukrainian) War,Climate change,Britsh politics / Brexit,Space-travel,Economy",40,92,12,9,NA,100,64,NA,39,67,65,0,26,89,13,6,14,54,60,49,59,57,80,54,22,20,78,21,18,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,214,TRUE,"R_2zzKyBpqN1IR4ib","Yes, continue the survey",28,"Multiple times per day","Every day","Crimes,COVID-19,Protests,Natural disasters,Elections",16,32,8,10,6,10,43,5,40,15,22,13,22,57,13,50,26,42,13,15,60,42,23,23,38,40,35,19,69,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,202,TRUE,"R_cuSB92xOoVLNdgB","Yes, continue the survey",26,"Never","Every day","EU politics,Israeli-Palestinian conflict,Sports,Climate change,Show business & Arts,Institutional abuse,Space-travel,Terrorism,US politics,Natural disasters,Economy",42,23,17,28,100,0,83,78,16,NA,74,52,4,28,97,62,2,91,73,12,30,62,100,91,76,90,90,57,0,0,NA,NA,NA,NA,NA,"Fake news"
"IP Address",100,374,TRUE,"R_3oT5gryiJlkuw25","Yes, continue the survey",30,"Never","2-3 times per week","Crimes,Show business & Arts,Natural disasters",NA,NA,NA,70,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Child abuse",NA,NA,NA,NA,"No"
"IP Address",100,413,TRUE,"R_3OdlNaxGbO6trLi","Yes, continue the survey",29,"Never","2-3 times per week","Crimes,Climate change,Show business & Arts,Natural disasters",NA,NA,NA,0,NA,100,100,25,100,0,73,NA,53,100,NA,100,NA,73,49,11,27,27,27,27,NA,NA,0,NA,24,NA,NA,NA,NA,0,NA,NA
"IP Address",100,209,TRUE,"R_2djadnNQNmFOolZ","Yes, continue the survey",20,"Never","Once per week","EU politics,Crimes,Israeli-Palestinian conflict,Show business & Arts,Institutional abuse,US politics",37,22,85,88,NA,12,NA,NA,52,NA,95,26,77,53,79,44,43,47,46,NA,NA,50,46,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Racism/ racial profiling"
"IP Address",100,228,TRUE,"R_3pxnGn4wjyLZMtP","Yes, continue the survey",22,"Once per week","Once per week","Crimes,Israeli-Palestinian conflict,Immigration,Space-travel,Economy",48,48,61,52,6,51,51,5,68,10,59,8,50,66,31,69,50,60,49,49,29,24,50,73,18,18,18,17,14,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,102,TRUE,"R_1jHQlpMDsFWh8SI","Yes, continue the survey",27,"Never","Every day","Immigration,(Ukrainian) War,Economy",16,25,12,80,0,100,0,NA,48,NA,18,NA,31,31,NA,14,18,NA,12,16,42,78,100,NA,NA,NA,19,NA,100,NA,NA,NA,NA,NA,NA,"-"
"IP Address",100,219,TRUE,"R_tF2asNuMjEboK0p","Yes, continue the survey",25,"Multiple times per day","Once per week","EU politics,Sports,Institutional abuse,Space-travel,Natural disasters,Elections",36,49,NA,NA,0,18,65,NA,65,0,29,NA,NA,NA,39,NA,82,31,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"war crimes (or very detailed op-eds about this)"
"IP Address",100,122,TRUE,"R_ut3oMPBG8XaWF5T","Yes, continue the survey",24,"Never","2-3 times per week",NA,60,97,NA,NA,4,NA,96,NA,2,NA,NA,NA,NA,NA,NA,99,NA,NA,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,178,TRUE,"R_3nSHJLkUwyMdwIe","Yes, continue the survey",23,"Never","Every day","EU politics,Crimes,(Ukrainian) War,Climate change,COVID-19,Institutional abuse,Terrorism,Natural disasters,Elections",16,27,38,24,NA,56,64,NA,77,10,66,NA,NA,69,13,37,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not really i guess, maybe mental health issues"
"IP Address",100,212,TRUE,"R_2eaFLtXkta1yxh5","Yes, continue the survey",23,"Every day","Every day","Sports,(Ukrainian) War,Climate change,COVID-19,US politics,Economy",NA,52,53,75,NA,52,53,NA,33,NA,NA,NA,52,NA,27,NA,NA,53,72,NA,41,39,52,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poverty"
"IP Address",100,271,TRUE,"R_1r39f8nJRW15bWw","Yes, continue the survey",28,"Every day","2-3 times per week","EU politics,Crimes,Climate change,Economy",18,27,NA,NA,NA,NA,21,NA,NA,NA,39,NA,NA,88,NA,NA,NA,41,50,55,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Another crime on the island"
"IP Address",100,285,TRUE,"R_WB70twFoHVp5pW9","Yes, continue the survey",22,"Never","Once per week","EU politics,Climate change,Show business & Arts,Institutional abuse,Protests,US politics,Natural disasters,Economy",49,65,40,40,NA,40,67,20,56,9,71,3,86,70,67,71,29,77,55,25,62,46,79,20,9,16,15,3,52,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,174,TRUE,"R_3CJl8amkuFVYKsU","Yes, continue the survey",30,"Never","Every day","Crimes,Show business & Arts",NA,21,43,54,0,46,NA,NA,55,NA,66,NA,51,NA,NA,74,0,19,100,51,39,67,33,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,"Violent crimes"
"IP Address",100,174,TRUE,"R_1Qy0dSCRM0QhtGp","Yes, continue the survey",24,"Every day","2-3 times per week","EU politics,Crimes,Immigration,(Ukrainian) War,Climate change,Show business & Arts,COVID-19,Institutional abuse,Protests,Terrorism,Natural disasters,Elections",64,70,NA,NA,NA,NA,78,81,78,NA,NA,NA,NA,0,NA,72,67,NA,12,58,33,11,8,8,58,54,37,20,59,NA,NA,NA,NA,NA,NA,"Natural disasters"
"IP Address",100,293,TRUE,"R_2t9z1KGMleYEg7V","Yes, continue the survey",22,"Never","2-3 times per week","EU politics,Climate change,Show business & Arts,Institutional abuse,Protests,Elections",29,31,NA,25,NA,67,79,57,40,NA,68,NA,56,NA,47,12,54,44,NA,68,NA,NA,NA,NA,NA,NA,66,NA,67,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,191,TRUE,"R_2tAwHej0vCsP03U","Yes, continue the survey",21,"2-3 times per week","Once per week","Crimes,Climate change,Economy",NA,19,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Fitness"
"IP Address",100,524,TRUE,"R_3qUTx3FtjnjqMCs","Yes, continue the survey",28,"Never","2-3 times per week","Sports,Climate change,Economy",NA,NA,NA,NA,0,53,NA,NA,0,NA,NA,NA,16,69,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,300,TRUE,"R_3LhDuevdmRlNY0Y","Yes, continue the survey",22,"Every day","2-3 times per week","Crimes,(Ukrainian) War,Climate change,Show business & Arts,Institutional abuse,Terrorism,Natural disasters,Economy",NA,NA,100,52,NA,100,NA,20,100,NA,90,NA,49,90,NA,92,38,NA,14,NA,NA,NA,11,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,194,TRUE,"R_3n2RGtsIhex8I7u","Yes, continue the survey",30,"Every day","2-3 times per week","Crimes,Sports,(Ukrainian) War,Show business & Arts,Natural disasters,Economy",NA,NA,62,NA,NA,62,NA,0,NA,NA,NA,NA,NA,55,0,50,0,64,24,NA,NA,18,18,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing comes to mind"
"IP Address",100,224,TRUE,"R_1imaUcgDuZoANy0","Yes, continue the survey",27,"Never","2-3 times per week","EU politics,Crimes,Immigration,Protests,Natural disasters,Economy",36,69,68,42,40,79,83,51,70,64,65,48,84,77,86,73,72,62,53,50,58,76,81,50,51,52,72,51,54,NA,NA,NA,NA,NA,NA,"Murder / escaped murderers"
"IP Address",100,167,TRUE,"R_2tikht40xTIHe3D","Yes, continue the survey",18,"Multiple times per day","2-3 times per week","EU politics,Crimes,Economy",48,100,5,46,10,9,0,6,100,0,NA,NA,61,69,50,86,NA,100,100,NA,100,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the price of gasoline"
"IP Address",100,95,TRUE,"R_3eaFahfmgpF1RTW","Yes, continue the survey",25,"Once per week","Never","Crimes",25,45,44,25,0,NA,24,14,48,19,15,15,25,61,89,73,25,70,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,8727,TRUE,"R_2aqO3nsJeu3kcrt","Yes, continue the survey",22,"Never","Once per week","EU politics,Crimes,Immigration,(Ukrainian) War,Climate change,Economy",51,56,84,66,NA,88,35,NA,27,2,13,NA,11,100,10,90,6,30,100,87,87,87,87,55,20,20,46,10,100,NA,NA,NA,NA,NA,NA,"Some diseases like cancer"
"IP Address",100,152,TRUE,"R_OKcSzEASO7JAPqp","Yes, continue the survey",24,"Multiple times per day","Multiple times per day","EU politics,Crimes,Immigration,Climate change,Show business & Arts,Britsh politics / Brexit,Institutional abuse,Protests,US politics,Elections,Economy",56,79,94,93,11,42,100,20,87,88,63,22,85,98,98,74,95,100,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,14,TRUE,"R_sdJ4kwP46ks9rj3","Yes, continue the survey",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,133,TRUE,"R_9HLcSLMF04FBAPL","Yes, continue the survey",29.5,"Never","Never","Britsh politics / Brexit,Terrorism",NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"IP Address",100,239,TRUE,"R_1C9CVXSkkuBUJpS","Yes, continue the survey",21,"Never","Never","Show business & Arts",NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sneakers"
"IP Address",100,12161,TRUE,"R_2BbW6hl7Cu7chDB","Yes, continue the survey",29,"2-3 times per week","Never","Sports,Show business & Arts,Economy",96,NA,NA,56,94,NA,66,70,73,NA,NA,NA,NA,NA,NA,74,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"School loan payments, rent going up, minimumwage etc"
