"Status","Progress","durationSec","Finished","ResponseId","introquestion","age","pushnotifications","readarticles","distressed_EUPolitics","distressed_crimes","distressed_israelPalestine","distressed_immigration","distressed_sports","distressed_war","distressed_climateChange","distressed_showArts","distressed_covid","distressed_britishBrexit","distressed_instAbuse","distressed_spaceTravel","distressed_protest","distressed_terrorism","distressed_USPolitics","distressed_naturalDisasters","distressed_elections","distressed_economy","guard_suicide","guard_accidents","guard_physicalAbuse","guard_sexualAbuse","guard_selfHarm","guard_depression","guard_racism","guard_LGBTQ","guard_eatingDisorders","guard_disability","guard_animalCruelty","guard_other1","guard_other1_text","guard_other2","guard_other2_text","guard_other3","guard_other3_text","additional","fit.cluster","topic","interest","id","distressed"
"IP Address",100,177,TRUE,"R_3skzf94dAlscujL","Yes, continue the survey",22,3,1,47,63,48,6,0,94,100,0,65,52,74,2,3,67,48,78,39,74,10,66,67,66,0,0,0,0,60,0,0,0,"0",0,0,0,0,"0","3","EUPolitics",TRUE,11,47
"IP Address",100,112,TRUE,"R_Ry88OmaGa2h5e4F","Yes, continue the survey",24,0.142857142857143,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,12,0
"IP Address",100,341,TRUE,"R_1pRvTAACK8ITeH1","Yes, continue the survey",19,0,0,100,57,82,17,0,100,77,15,37,0,99,0,84,49,30,88,25,45,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","3","EUPolitics",TRUE,13,100
"IP Address",100,144,TRUE,"R_30d76mux4AjyXzF","Yes, continue the survey",26,0,0.142857142857143,0,74,68,65,0,0,0,0,0,0,0,0,0,83,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,14,0
"IP Address",100,212,TRUE,"R_2VKMcyJj1oOxbhh","Yes, continue the survey",25,0,0.357142857142857,25,51,26,39,0,26,52,0,62,0,43,20,26,36,29,24,26,22,55,47,57,61,68,37,77,50,33,28,27,0,"0",0,0,0,0,"0","1","EUPolitics",FALSE,15,25
"IP Address",100,154,TRUE,"R_1hJPsbYXxMO6b84","Yes, continue the survey",24,1,1,45,86,41,96,15,86,100,0,0,0,100,0,8,55,61,36,21,100,52,11,19,8,88,81,100,100,0,4,0,0,"0",0,0,0,0,"0","5","EUPolitics",TRUE,16,45
"IP Address",100,165,TRUE,"R_3EBjkwLlXYontg5","Yes, continue the survey",22,0,0.357142857142857,52,52,92,30,0,86,100,0,23,58,92,62,68,78,92,68,27,11,32,0,17,19,46,20,4,9,33,33,74,0,"0",0,0,0,0,"0","3","EUPolitics",FALSE,17,52
"IP Address",100,155,TRUE,"R_1B5okJRAXq37dEB","Yes, continue the survey",26,1,0.357142857142857,0,0,0,0,19,18,0,0,0,0,0,0,17,13,0,29,12,22,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"No","2","EUPolitics",FALSE,18,0
"IP Address",100,356,TRUE,"R_3iyGkFWhJR07NTJ","Yes, continue the survey",29,0,3,16,93,92,12,0,37,85,15,21,0,100,8,6,92,100,14,100,100,74,6,83,83,86,83,4,9,92,90,96,0,"0",0,0,0,0,"0","5","EUPolitics",TRUE,19,16
"IP Address",100,194,TRUE,"R_2xQcJzNxZlcnwZ7","Yes, continue the survey",27,1,0.142857142857143,0,100,49,0,0,77,56,0,100,24,41,0,43,71,0,70,0,31,100,0,0,0,100,49,0,45,98,48,99,0,"0",0,0,0,0,"0","1","EUPolitics",FALSE,20,0
"IP Address",100,208,TRUE,"R_27OrQWUDhUj6kdC","Yes, continue the survey",22,3,3,67,88,0,88,0,100,77,3,82,62,80,4,59,92,90,89,88,91,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","3","EUPolitics",TRUE,21,67
"IP Address",100,194,TRUE,"R_3nU7l29CGDjltd6","Yes, continue the survey",29,0.142857142857143,0.142857142857143,79,96,46,40,3,81,76,11,18,4,39,37,38,100,15,65,14,22,22,18,25,23,25,32,23,25,24,19,20,0,"0",0,0,0,0,"F1 results","3","EUPolitics",TRUE,22,79
"IP Address",100,188,TRUE,"R_sT43PEOjdQOZMhH","Yes, continue the survey",26,0,0.357142857142857,49,80,0,51,0,67,40,0,87,0,0,0,0,100,46,98,33,71,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","4","EUPolitics",FALSE,23,49
"IP Address",100,244,TRUE,"R_1jNVxf8XSDf6LcY","Yes, continue the survey",23,0.357142857142857,0,51,0,32,80,6,60,47,0,72,0,18,0,38,67,0,54,0,79,54,0,0,0,51,66,83,0,100,55,49,0,"0",0,0,0,0,"No","1","EUPolitics",FALSE,24,51
"IP Address",100,304,TRUE,"R_31hLdcDZdYc0vdC","Yes, continue the survey",24,0.357142857142857,0.357142857142857,0,0,39,0,0,47,50,0,0,0,0,0,0,61,0,15,0,0,31,0,0,0,0,0,0,78,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,25,0
"IP Address",100,100,TRUE,"R_D2XXqP6gxVaJTCp","Yes, continue the survey",28,1,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",TRUE,26,0
"IP Address",100,334,TRUE,"R_3KGSVFzzJFhNeSy","Yes, continue the survey",26,0.142857142857143,0.357142857142857,56,0,55,20,0,51,0,0,30,30,19,0,0,0,13,0,15,0,0,0,0,0,0,15,0,9,0,12,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,27,56
"IP Address",100,113,TRUE,"R_2tbZSKmn33gx2iw","Yes, continue the survey",19,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,28,0
"IP Address",100,461,TRUE,"R_2wsQbi1mEdrbl5z","Yes, continue the survey",23,1,0.357142857142857,100,37,12,49,5,100,73,24,100,4,100,0,91,62,100,100,100,53,48,48,0,25,6,26,47,46,12,0,81,0,"0",0,0,0,0,"Weird illnesses (like parasites)","3","EUPolitics",TRUE,29,100
"IP Address",100,161,TRUE,"R_1li9g6N30GG1CmR","Yes, continue the survey",26,0.357142857142857,1,0,65,0,0,0,69,0,0,81,0,0,0,19,47,0,0,0,0,1,100,0,100,0,0,0,0,0,100,100,0,"0",0,0,0,0,"0","1","EUPolitics",TRUE,30,0
"IP Address",100,712,TRUE,"R_2dRwkL9ORWre1U4","Yes, continue the survey",26,0,3,0,64,100,76,0,70,50,0,0,0,47,0,41,83,47,0,0,0,54,56,83,82,82,0,30,30,0,0,0,0,"0",0,0,0,0,"Injustice","1","EUPolitics",FALSE,31,0
"IP Address",100,203,TRUE,"R_2trN60UFFAg5nA7","Yes, continue the survey",28,3,0,0,72,63,0,0,100,100,0,44,0,0,0,51,100,47,65,85,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Sexual Child abuse","4","EUPolitics",FALSE,32,0
"IP Address",100,236,TRUE,"R_2TI42YzMmuGOjji","Yes, continue the survey",20,0.357142857142857,0.357142857142857,56,55,0,0,0,30,31,0,0,0,65,0,0,42,0,31,28,30,63,58,57,76,66,33,31,58,50,42,46,0,"0",0,0,0,0,"0","1","EUPolitics",TRUE,33,56
"IP Address",100,213,TRUE,"R_snvdHheRdrcQxHj","Yes, continue the survey",25,0.357142857142857,0.357142857142857,0,0,0,0,0,67,62,0,0,0,0,0,0,55,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,34,0
"IP Address",100,118,TRUE,"R_3FImCBjVmW9VH9r","Yes, continue the survey",25,0,3,0,0,0,31,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,35,0
"IP Address",100,265,TRUE,"R_24Ixrk21ckiEaWn","Yes, continue the survey",25,1,0.142857142857143,46,74,69,53,0,51,74,5,67,30,42,2,85,64,74,78,60,37,48,49,66,65,65,6,5,5,31,6,7,0,"0",0,0,0,0,"Legal battles against human rights, human right violations, and police brutality","5","EUPolitics",FALSE,36,46
"IP Address",100,168,TRUE,"R_Rz4GpcQsWxtFPjP","Yes, continue the survey",22,1,0.357142857142857,40,92,12,9,0,100,64,0,39,67,65,0,26,89,13,6,14,54,60,49,59,57,80,54,22,20,78,21,18,0,"0",0,0,0,0,"0","1","EUPolitics",TRUE,37,40
"IP Address",100,214,TRUE,"R_2zzKyBpqN1IR4ib","Yes, continue the survey",28,3,1,16,32,8,10,6,10,43,5,40,15,22,13,22,57,13,50,26,42,13,15,60,42,23,23,38,40,35,19,69,0,"0",0,0,0,0,"0","1","EUPolitics",FALSE,38,16
"IP Address",100,202,TRUE,"R_cuSB92xOoVLNdgB","Yes, continue the survey",26,0,1,42,23,17,28,100,0,83,78,16,0,74,52,4,28,97,62,2,91,73,12,30,62,100,91,76,90,90,57,0,0,"0",0,0,0,0,"Fake news","5","EUPolitics",TRUE,39,42
"IP Address",100,374,TRUE,"R_3oT5gryiJlkuw25","Yes, continue the survey",30,0,0.357142857142857,0,0,0,70,0,0,62,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Child abuse",0,0,0,0,"No","2","EUPolitics",FALSE,40,0
"IP Address",100,413,TRUE,"R_3OdlNaxGbO6trLi","Yes, continue the survey",29,0,0.357142857142857,0,0,0,0,0,100,100,25,100,0,73,0,53,100,0,100,0,73,49,11,27,27,27,27,0,0,0,0,24,0,"0",0,0,0,0,"0","4","EUPolitics",FALSE,41,0
"IP Address",100,209,TRUE,"R_2djadnNQNmFOolZ","Yes, continue the survey",20,0,0.142857142857143,37,22,85,88,0,12,0,0,52,0,95,26,77,53,79,44,43,47,46,0,0,50,46,0,0,87,0,0,0,0,"0",0,0,0,0,"Racism/ racial profiling","3","EUPolitics",TRUE,42,37
"IP Address",100,228,TRUE,"R_3pxnGn4wjyLZMtP","Yes, continue the survey",22,0.142857142857143,0.142857142857143,48,48,61,52,6,51,51,5,68,10,59,8,50,66,31,69,50,60,49,49,29,24,50,73,18,18,18,17,14,0,"0",0,0,0,0,"0","1","EUPolitics",FALSE,43,48
"IP Address",100,102,TRUE,"R_1jHQlpMDsFWh8SI","Yes, continue the survey",27,0,1,16,25,12,80,0,100,0,0,48,0,18,0,31,31,0,14,18,0,12,16,42,78,100,0,0,0,19,0,100,0,"0",0,0,0,0,"-","1","EUPolitics",FALSE,44,16
"IP Address",100,219,TRUE,"R_tF2asNuMjEboK0p","Yes, continue the survey",25,3,0.142857142857143,36,49,0,0,0,18,65,0,65,0,29,0,0,0,39,0,82,31,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"war crimes (or very detailed op-eds about this)","4","EUPolitics",TRUE,45,36
"IP Address",100,122,TRUE,"R_ut3oMPBG8XaWF5T","Yes, continue the survey",24,0,0.357142857142857,60,97,0,0,4,0,96,0,2,0,0,0,0,0,0,99,0,0,100,100,100,100,100,100,100,100,100,100,100,0,"0",0,0,0,0,"0","1","EUPolitics",FALSE,46,60
"IP Address",100,178,TRUE,"R_3nSHJLkUwyMdwIe","Yes, continue the survey",23,0,1,16,27,38,24,0,56,64,0,77,10,66,0,0,69,13,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Not really i guess, maybe mental health issues","4","EUPolitics",TRUE,47,16
"IP Address",100,212,TRUE,"R_2eaFLtXkta1yxh5","Yes, continue the survey",23,1,1,0,52,53,75,0,52,53,0,33,0,0,0,52,0,27,0,0,53,72,0,41,39,52,0,23,0,0,0,0,0,"0",0,0,0,0,"Poverty","1","EUPolitics",FALSE,48,0
"IP Address",100,271,TRUE,"R_1r39f8nJRW15bWw","Yes, continue the survey",28,1,0.357142857142857,18,27,0,0,0,0,21,0,0,0,39,0,0,88,0,0,0,41,50,55,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Another crime on the island","2","EUPolitics",TRUE,49,18
"IP Address",100,285,TRUE,"R_WB70twFoHVp5pW9","Yes, continue the survey",22,0,0.142857142857143,49,65,40,40,0,40,67,20,56,9,71,3,86,70,67,71,29,77,55,25,62,46,79,20,9,16,15,3,52,0,"0",0,0,0,0,"0","5","EUPolitics",TRUE,50,49
"IP Address",100,174,TRUE,"R_3CJl8amkuFVYKsU","Yes, continue the survey",30,0,1,0,21,43,54,0,46,0,0,55,0,66,0,51,0,0,74,0,19,100,51,39,67,33,0,0,0,0,0,52,0,"0",0,0,0,0,"Violent crimes","1","EUPolitics",FALSE,51,0
"IP Address",100,174,TRUE,"R_1Qy0dSCRM0QhtGp","Yes, continue the survey",24,1,0.357142857142857,64,70,0,0,0,0,78,81,78,0,0,0,0,0,0,72,67,0,12,58,33,11,8,8,58,54,37,20,59,0,"0",0,0,0,0,"Natural disasters","4","EUPolitics",TRUE,52,64
"IP Address",100,293,TRUE,"R_2t9z1KGMleYEg7V","Yes, continue the survey",22,0,0.357142857142857,29,31,0,25,0,67,79,57,40,0,68,0,56,0,47,12,54,44,0,68,0,0,0,0,0,0,66,0,67,0,"0",0,0,0,0,"0","4","EUPolitics",TRUE,53,29
"IP Address",100,191,TRUE,"R_2tAwHej0vCsP03U","Yes, continue the survey",21,0.357142857142857,0.142857142857143,0,19,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Fitness","2","EUPolitics",FALSE,54,0
"IP Address",100,524,TRUE,"R_3qUTx3FtjnjqMCs","Yes, continue the survey",28,0,0.357142857142857,0,0,0,0,0,53,0,0,0,0,0,0,16,69,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,55,0
"IP Address",100,300,TRUE,"R_3LhDuevdmRlNY0Y","Yes, continue the survey",22,1,0.357142857142857,0,0,100,52,0,100,0,20,100,0,90,0,49,90,0,92,38,0,14,0,0,0,11,0,0,0,0,0,0,0,"0",0,0,0,0,"No","3","EUPolitics",FALSE,56,0
"IP Address",100,194,TRUE,"R_3n2RGtsIhex8I7u","Yes, continue the survey",30,1,0.357142857142857,0,0,62,0,0,62,0,0,0,0,0,0,0,55,0,50,0,64,24,0,0,18,18,0,0,0,0,0,0,0,"0",0,0,0,0,"Nothing comes to mind","2","EUPolitics",FALSE,57,0
"IP Address",100,224,TRUE,"R_1imaUcgDuZoANy0","Yes, continue the survey",27,0,0.357142857142857,36,69,68,42,40,79,83,51,70,64,65,48,84,77,86,73,72,62,53,50,58,76,81,50,51,52,72,51,54,0,"0",0,0,0,0,"Murder / escaped murderers","5","EUPolitics",TRUE,58,36
"IP Address",100,167,TRUE,"R_2tikht40xTIHe3D","Yes, continue the survey",18,3,0.357142857142857,48,100,5,46,10,9,0,6,100,0,0,0,61,69,50,86,0,100,100,0,100,100,0,100,0,0,0,0,0,0,"0",0,0,0,0,"the price of gasoline","1","EUPolitics",TRUE,59,48
"IP Address",100,95,TRUE,"R_3eaFahfmgpF1RTW","Yes, continue the survey",25,0.142857142857143,0,25,45,44,25,0,0,24,14,48,19,15,15,25,61,89,73,25,70,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","4","EUPolitics",FALSE,60,25
"IP Address",100,8727,TRUE,"R_2aqO3nsJeu3kcrt","Yes, continue the survey",22,0,0.142857142857143,51,56,84,66,0,88,35,0,27,2,13,0,11,100,10,90,6,30,100,87,87,87,87,55,20,20,46,10,100,0,"0",0,0,0,0,"Some diseases like cancer","1","EUPolitics",TRUE,61,51
"IP Address",100,152,TRUE,"R_OKcSzEASO7JAPqp","Yes, continue the survey",24,3,3,56,79,94,93,11,42,100,20,87,88,63,22,85,98,98,74,95,100,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","3","EUPolitics",TRUE,62,56
"IP Address",100,133,TRUE,"R_9HLcSLMF04FBAPL","Yes, continue the survey",29.5,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,63,0
"IP Address",100,239,TRUE,"R_1C9CVXSkkuBUJpS","Yes, continue the survey",21,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Sneakers","2","EUPolitics",FALSE,64,0
"IP Address",100,12161,TRUE,"R_2BbW6hl7Cu7chDB","Yes, continue the survey",29,0.357142857142857,0,96,0,0,56,94,0,66,70,73,0,0,0,0,0,0,74,0,87,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"School loan payments, rent going up, minimumwage etc","4","EUPolitics",FALSE,65,96
"IP Address",100,318,TRUE,"R_27QDRRgbM9qonhL","Yes, continue the survey",26,0,1,0,76,0,76,100,55,73,100,35,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"No","4","EUPolitics",FALSE,66,0
"IP Address",100,101,TRUE,"R_2rNHNJfoFbyk30h","Yes, continue the survey",28,0.357142857142857,0.357142857142857,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Na","2","EUPolitics",FALSE,67,0
"IP Address",100,109,TRUE,"R_3CGXhbIt8XwvHTd","Yes, continue the survey",18,0,0,0,52,100,0,0,0,0,0,49,0,0,0,52,100,16,100,0,55,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","4","EUPolitics",FALSE,68,0
"IP Address",100,115,TRUE,"R_1M4HjaLibCfx93a","Yes, continue the survey",29,1,0.357142857142857,0,100,0,0,17,0,0,18,0,0,0,0,0,89,0,0,62,97,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Not at the moment","2","EUPolitics",FALSE,69,0
"IP Address",100,317,TRUE,"R_1CeEmbFnndJCcjN","Yes, continue the survey",25,0,0.142857142857143,0,100,41,47,0,8,100,0,100,0,100,0,100,100,100,100,0,0,80,47,56,94,66,0,57,56,0,0,67,0,"0",0,0,0,0,"N/A","5","EUPolitics",FALSE,70,0
"IP Address",100,168,TRUE,"R_1Hk51NqiGWXcF0g","Yes, continue the survey",26,3,0.357142857142857,0,0,0,0,50,0,0,53,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,71,0
"IP Address",100,244,TRUE,"R_3CK58hHM3slxGMF","Yes, continue the survey",24,3,0.357142857142857,39,52,31,35,18,50,64,44,25,51,21,8,13,39,18,72,9,35,86,45,58,48,47,47,21,55,32,13,29,0,"0",0,0,0,0,"0","1","EUPolitics",FALSE,72,39
"IP Address",100,99,TRUE,"R_2VfFcPNe9plCoJW","Yes, continue the survey",24,3,1,26,0,0,0,0,0,0,0,79,0,0,0,72,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"No","2","EUPolitics",FALSE,73,26
"IP Address",100,343,TRUE,"R_2tkVt3J7HilRgqg","Yes, continue the survey",23,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,100,0,100,100,100,0,0,0,0,0,0,0,"0",0,0,0,0,"Abuse of minors","1","EUPolitics",FALSE,74,0
"IP Address",100,195,TRUE,"R_QhKUXcWk12Ia3RL","Yes, continue the survey",26,3,1,59,59,80,44,20,75,81,35,21,39,66,19,66,84,44,58,37,62,6,13,13,15,17,14,9,11,10,20,16,0,"0",0,0,0,0,"Intimidation","3","EUPolitics",TRUE,75,59
"IP Address",100,217,TRUE,"R_2q1RIlzKWYYiYUg","Yes, continue the survey",25,0,0.357142857142857,100,50,100,100,0,79,100,0,51,0,87,38,77,0,58,100,38,100,19,21,19,22,24,24,22,19,22,0,23,0,"0",0,0,0,0,"0","3","EUPolitics",TRUE,76,100
"IP Address",100,438,TRUE,"R_3g6jynzfpAhoExK","Yes, continue the survey",28,1,0.357142857142857,75,34,23,67,3,83,92,4,67,42,74,4,54,95,41,93,39,68,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","3","EUPolitics",TRUE,77,75
"IP Address",100,193,TRUE,"R_4JjxAodB1pGAY1P","Yes, continue the survey",25,0,1,46,0,22,26,28,57,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,78,46
"IP Address",100,125,TRUE,"R_11XDJWx2cCEhOrk","Yes, continue the survey",25,1,0.142857142857143,100,51,100,79,16,18,100,8,6,9,100,8,14,35,100,62,16,20,48,49,85,100,100,100,100,100,7,10,100,0,"0",0,0,0,0,"No","5","EUPolitics",FALSE,79,100
"IP Address",100,182,TRUE,"R_1LjOdcvHO3WB0Ft","Yes, continue the survey",25,3,3,61,70,92,82,0,100,100,0,0,0,50,0,18,100,0,100,20,100,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"animal abuse","3","EUPolitics",FALSE,80,61
"IP Address",100,363,TRUE,"R_3ly6fDlC5mBO52h","Yes, continue the survey",26,0,0.357142857142857,29,66,64,27,0,81,93,0,48,62,65,27,45,74,46,75,35,31,3,2,4,7,4,0,0,0,48,0,1,0,"0",0,0,0,0,"accidents/ disasters that are close to or in spaces I know","3","EUPolitics",TRUE,81,29
"IP Address",100,128,TRUE,"R_307A8QngsycVFlI","Yes, continue the survey",24,0,1,31,44,78,78,7,73,78,55,71,18,81,19,35,67,78,59,53,18,35,14,38,38,72,35,11,14,64,18,53,0,"0",0,0,0,0,"Poverty","5","EUPolitics",FALSE,82,31
"IP Address",100,265,TRUE,"R_2uDPNKa8kgZ3yy1","Yes, continue the survey",24,1,0.142857142857143,28,43,51,51,8,64,88,29,15,1,6,55,60,68,15,55,28,75,57,5,48,73,90,69,7,21,50,7,17,0,"0",0,0,0,0,"0","1","EUPolitics",FALSE,83,28
"IP Address",100,114,TRUE,"R_1jHEOoU0VaDcvvJ","Yes, continue the survey",24,3,3,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",FALSE,84,0
"IP Address",100,156,TRUE,"R_0ptK9v8TtQulPlD","Yes, continue the survey",24,0,0.142857142857143,56,63,77,69,18,89,82,9,75,41,52,26,62,70,62,72,31,36,50,51,50,85,51,52,51,51,51,52,52,0,"0",0,0,0,0,"0","5","EUPolitics",FALSE,85,56
"IP Address",100,2599,TRUE,"R_pQr4ATdPB4QoFpf","Yes, continue the survey",23,3,1,16,36,32,52,0,46,58,5,47,0,16,0,28,43,6,48,21,28,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","4","EUPolitics",TRUE,86,16
"IP Address",100,374,TRUE,"R_2CU28goHgmXEAC5","Yes, continue the survey",25,0,1,57,93,56,93,37,94,94,75,67,59,81,34,96,81,83,92,90,59,40,77,60,67,40,41,20,21,21,22,91,90,"Explicit medical content",0,0,0,0,"Murder, child abuse, Abuse against women","5","EUPolitics",TRUE,87,57
"IP Address",100,214,TRUE,"R_32MfAu3mjNwvB2F","Yes, continue the survey",26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"0",0,0,0,0,"0","2","EUPolitics",TRUE,88,0
"IP Address",100,194,TRUE,"R_1GPrCMxg2N4IC2O","Yes, continue the survey",20,0,0.142857142857143,0,42,5,5,0,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","2","EUPolitics",TRUE,89,0
