"Status","Progress","durationSec","Finished","ResponseId","introquestion","age","pushnotifications","readarticles","distressed_EUPolitics","distressed_crimes","distressed_israelPalestine","distressed_immigration","distressed_sports","distressed_war","distressed_climateChange","distressed_showArts","distressed_covid","distressed_britishBrexit","distressed_instAbuse","distressed_spaceTravel","distressed_protest","distressed_terrorism","distressed_USPolitics","distressed_naturalDisasters","distressed_elections","distressed_economy","guard_suicide","guard_accidents","guard_physicalAbuse","guard_sexualAbuse","guard_selfHarm","guard_depression","guard_racism","guard_LGBTQ","guard_eatingDisorders","guard_disability","guard_animalCruelty","guard_other1","guard_other1_text","guard_other2","guard_other2_text","guard_other3","guard_other3_text","additional","interest_EUPolitics","interest_crimes","interest_israelPalestine","interest_immigration","interest_sports","interest_war","interest_climateChange","interest_showArts","interest_covid","interest_britishBrexit","interest_instAbuse","interest_spaceTravel","interest_protests","interest_terrorism","interest_USPolitics","interest_naturalDisasters","interest_elections","interest_economy","fit.cluster"
"IP Address",100,194,TRUE,"R_2xQcJzNxZlcnwZ7","Yes, continue the survey",27,1,0.142857142857143,0,100,49,0,0,77,56,0,100,24,41,0,43,71,0,70,0,31,100,0,0,0,100,49,0,45,98,48,99,0,"0",0,0,0,0,"0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1"
"IP Address",100,208,TRUE,"R_27OrQWUDhUj6kdC","Yes, continue the survey",22,3,3,67,88,0,88,0,100,77,3,82,62,80,4,59,92,90,89,88,91,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"3"
"IP Address",100,194,TRUE,"R_3nU7l29CGDjltd6","Yes, continue the survey",29,0.142857142857143,0.142857142857143,79,96,46,40,3,81,76,11,18,4,39,37,38,100,15,65,14,22,22,18,25,23,25,32,23,25,24,19,20,0,"0",0,0,0,0,"F1 results",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"3"
"IP Address",100,188,TRUE,"R_sT43PEOjdQOZMhH","Yes, continue the survey",26,0,0.357142857142857,49,80,0,51,0,67,40,0,87,0,0,0,0,100,46,98,33,71,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"4"
"IP Address",100,244,TRUE,"R_1jNVxf8XSDf6LcY","Yes, continue the survey",23,0.357142857142857,0,51,0,32,80,6,60,47,0,72,0,18,0,38,67,0,54,0,79,54,0,0,0,51,66,83,0,100,55,49,0,"0",0,0,0,0,"No",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1"
"IP Address",100,304,TRUE,"R_31hLdcDZdYc0vdC","Yes, continue the survey",24,0.357142857142857,0.357142857142857,0,0,39,0,0,47,50,0,0,0,0,0,0,61,0,15,0,0,31,0,0,0,0,0,0,78,0,0,0,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2"
"IP Address",100,100,TRUE,"R_D2XXqP6gxVaJTCp","Yes, continue the survey",28,1,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"2"
"IP Address",100,334,TRUE,"R_3KGSVFzzJFhNeSy","Yes, continue the survey",26,0.142857142857143,0.357142857142857,56,0,55,20,0,51,0,0,30,30,19,0,0,0,13,0,15,0,0,0,0,0,0,15,0,9,0,12,0,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"2"
"IP Address",100,113,TRUE,"R_2tbZSKmn33gx2iw","Yes, continue the survey",19,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2"
"IP Address",100,461,TRUE,"R_2wsQbi1mEdrbl5z","Yes, continue the survey",23,1,0.357142857142857,100,37,12,49,5,100,73,24,100,4,100,0,91,62,100,100,100,53,48,48,0,25,6,26,47,46,12,0,81,0,"0",0,0,0,0,"Weird illnesses (like parasites)",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"3"
"IP Address",100,161,TRUE,"R_1li9g6N30GG1CmR","Yes, continue the survey",26,0.357142857142857,1,0,65,0,0,0,69,0,0,81,0,0,0,19,47,0,0,0,0,1,100,0,100,0,0,0,0,0,100,100,0,"0",0,0,0,0,"0",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"1"
"IP Address",100,712,TRUE,"R_2dRwkL9ORWre1U4","Yes, continue the survey",26,0,3,0,64,100,76,0,70,50,0,0,0,47,0,41,83,47,0,0,0,54,56,83,82,82,0,30,30,0,0,0,0,"0",0,0,0,0,"Injustice",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1"
"IP Address",100,203,TRUE,"R_2trN60UFFAg5nA7","Yes, continue the survey",28,3,0,0,72,63,0,0,100,100,0,44,0,0,0,51,100,47,65,85,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Sexual Child abuse",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"4"
"IP Address",100,236,TRUE,"R_2TI42YzMmuGOjji","Yes, continue the survey",20,0.357142857142857,0.357142857142857,56,55,0,0,0,30,31,0,0,0,65,0,0,42,0,31,28,30,63,58,57,76,66,33,31,58,50,42,46,0,"0",0,0,0,0,"0",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"1"
"IP Address",100,213,TRUE,"R_snvdHheRdrcQxHj","Yes, continue the survey",25,0.357142857142857,0.357142857142857,0,0,0,0,0,67,62,0,0,0,0,0,0,55,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2"
"IP Address",100,118,TRUE,"R_3FImCBjVmW9VH9r","Yes, continue the survey",25,0,3,0,0,0,31,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"2"
"IP Address",100,265,TRUE,"R_24Ixrk21ckiEaWn","Yes, continue the survey",25,1,0.142857142857143,46,74,69,53,0,51,74,5,67,30,42,2,85,64,74,78,60,37,48,49,66,65,65,6,5,5,31,6,7,0,"0",0,0,0,0,"Legal battles against human rights, human right violations, and police brutality",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"5"
"IP Address",100,168,TRUE,"R_Rz4GpcQsWxtFPjP","Yes, continue the survey",22,1,0.357142857142857,40,92,12,9,0,100,64,0,39,67,65,0,26,89,13,6,14,54,60,49,59,57,80,54,22,20,78,21,18,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1"
"IP Address",100,214,TRUE,"R_2zzKyBpqN1IR4ib","Yes, continue the survey",28,3,1,16,32,8,10,6,10,43,5,40,15,22,13,22,57,13,50,26,42,13,15,60,42,23,23,38,40,35,19,69,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"1"
"IP Address",100,202,TRUE,"R_cuSB92xOoVLNdgB","Yes, continue the survey",26,0,1,42,23,17,28,100,0,83,78,16,0,74,52,4,28,97,62,2,91,73,12,30,62,100,91,76,90,90,57,0,0,"0",0,0,0,0,"Fake news",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"5"
"IP Address",100,374,TRUE,"R_3oT5gryiJlkuw25","Yes, continue the survey",30,0,0.357142857142857,0,0,0,70,0,0,62,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Child abuse",0,0,0,0,"No",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"2"
"IP Address",100,413,TRUE,"R_3OdlNaxGbO6trLi","Yes, continue the survey",29,0,0.357142857142857,0,0,0,0,0,100,100,25,100,0,73,0,53,100,0,100,0,73,49,11,27,27,27,27,0,0,0,0,24,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"4"
"IP Address",100,209,TRUE,"R_2djadnNQNmFOolZ","Yes, continue the survey",20,0,0.142857142857143,37,22,85,88,0,12,0,0,52,0,95,26,77,53,79,44,43,47,46,0,0,50,46,0,0,87,0,0,0,0,"0",0,0,0,0,"Racism/ racial profiling",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"3"
"IP Address",100,228,TRUE,"R_3pxnGn4wjyLZMtP","Yes, continue the survey",22,0.142857142857143,0.142857142857143,48,48,61,52,6,51,51,5,68,10,59,8,50,66,31,69,50,60,49,49,29,24,50,73,18,18,18,17,14,0,"0",0,0,0,0,"0",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1"
"IP Address",100,102,TRUE,"R_1jHQlpMDsFWh8SI","Yes, continue the survey",27,0,1,16,25,12,80,0,100,0,0,48,0,18,0,31,31,0,14,18,0,12,16,42,78,100,0,0,0,19,0,100,0,"0",0,0,0,0,"-",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1"
"IP Address",100,219,TRUE,"R_tF2asNuMjEboK0p","Yes, continue the survey",25,3,0.142857142857143,36,49,0,0,0,18,65,0,65,0,29,0,0,0,39,0,82,31,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"war crimes (or very detailed op-eds about this)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"4"
"IP Address",100,122,TRUE,"R_ut3oMPBG8XaWF5T","Yes, continue the survey",24,0,0.357142857142857,60,97,0,0,4,0,96,0,2,0,0,0,0,0,0,99,0,0,100,100,100,100,100,100,100,100,100,100,100,0,"0",0,0,0,0,"0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1"
"IP Address",100,178,TRUE,"R_3nSHJLkUwyMdwIe","Yes, continue the survey",23,0,1,16,27,38,24,0,56,64,0,77,10,66,0,0,69,13,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Not really i guess, maybe mental health issues",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"4"
"IP Address",100,212,TRUE,"R_2eaFLtXkta1yxh5","Yes, continue the survey",23,1,1,0,52,53,75,0,52,53,0,33,0,0,0,52,0,27,0,0,53,72,0,41,39,52,0,23,0,0,0,0,0,"0",0,0,0,0,"Poverty",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"1"
"IP Address",100,271,TRUE,"R_1r39f8nJRW15bWw","Yes, continue the survey",28,1,0.357142857142857,18,27,0,0,0,0,21,0,0,0,39,0,0,88,0,0,0,41,50,55,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Another crime on the island",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2"
"IP Address",100,285,TRUE,"R_WB70twFoHVp5pW9","Yes, continue the survey",22,0,0.142857142857143,49,65,40,40,0,40,67,20,56,9,71,3,86,70,67,71,29,77,55,25,62,46,79,20,9,16,15,3,52,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"5"
"IP Address",100,174,TRUE,"R_3CJl8amkuFVYKsU","Yes, continue the survey",30,0,1,0,21,43,54,0,46,0,0,55,0,66,0,51,0,0,74,0,19,100,51,39,67,33,0,0,0,0,0,52,0,"0",0,0,0,0,"Violent crimes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1"
"IP Address",100,174,TRUE,"R_1Qy0dSCRM0QhtGp","Yes, continue the survey",24,1,0.357142857142857,64,70,0,0,0,0,78,81,78,0,0,0,0,0,0,72,67,0,12,58,33,11,8,8,58,54,37,20,59,0,"0",0,0,0,0,"Natural disasters",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"4"
"IP Address",100,293,TRUE,"R_2t9z1KGMleYEg7V","Yes, continue the survey",22,0,0.357142857142857,29,31,0,25,0,67,79,57,40,0,68,0,56,0,47,12,54,44,0,68,0,0,0,0,0,0,66,0,67,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"4"
"IP Address",100,191,TRUE,"R_2tAwHej0vCsP03U","Yes, continue the survey",21,0.357142857142857,0.142857142857143,0,19,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"Fitness",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2"
"IP Address",100,524,TRUE,"R_3qUTx3FtjnjqMCs","Yes, continue the survey",28,0,0.357142857142857,0,0,0,0,0,53,0,0,0,0,0,0,16,69,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,"0",0,0,0,0,"0",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2"
"IP Address",100,300,TRUE,"R_3LhDuevdmRlNY0Y","Yes, continue the survey",22,1,0.357142857142857,0,0,100,52,0,100,0,20,100,0,90,0,49,90,0,92,38,0,14,0,0,0,11,0,0,0,0,0,0,0,"0",0,0,0,0,"No",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"3"
"IP Address",100,194,TRUE,"R_3n2RGtsIhex8I7u","Yes, continue the survey",30,1,0.357142857142857,0,0,62,0,0,62,0,0,0,0,0,0,0,55,0,50,0,64,24,0,0,18,18,0,0,0,0,0,0,0,"0",0,0,0,0,"Nothing comes to mind",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"2"
