StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,introquestion,age,pushnotifications,readarticles,topicsinterested,distressed_1,distressed_2,distressed_3,distressed_4,distressed_5,distressed_6,distressed_7,distressed_8,distressed_9,distressed_10,distressed_11,distressed_12,distressed_13,distressed_14,distressed_15,distressed_16,distressed_17,distressed_18,guarding_1,guarding_2,guarding_3,guarding_4,guarding_5,guarding_6,guarding_7,guarding_8,guarding_9,guarding_10,guarding_11,guarding_12,guarding_12_TEXT,guarding_13,guarding_13_TEXT,guarding_14,guarding_14_TEXT,additional
2023-03-19 19:59:05,2023-03-19 20:01:41,IP Address,145.107.92.249,100,155,True,2023-03-19 20:01:41,R_DAUOEFPmB3D0dVL,,,,,52.0854,5.1653,anonymous,EN,"Yes, continue the survey",29,Never,2-3 times per week,"EU politics,Economy",33,0,,,,,,,,,,,,,,,,77,63,12,63,63,35,13,13,2,3,3,3,,,,,,,Related to wars
2023-03-19 20:01:13,2023-03-19 20:04:08,IP Address,62.163.76.92,100,175,True,2023-03-19 20:04:09,R_1FIXo0OVnJIuL73,,,,,52.3583,4.8488,anonymous,EN,"Yes, continue the survey",23,2-3 times per week,Once per week,"EU politics,Sports,Protests,Elections,Economy",100,100,35,51,0,100,100,14,73,56,100,0,85,100,73,100,75,79,,0,,0,0,0,8,0,,,0,,,,,,,No
2023-03-19 20:01:36,2023-03-19 20:04:34,IP Address,62.163.76.92,100,177,True,2023-03-19 20:04:34,R_3skzf94dAlscujL,,,,,52.3583,4.8488,anonymous,EN,"Yes, continue the survey",22,Multiple times per day,Every day,"EU politics,Crimes,Economy",47,63,48,6,0,94,100,0,65,52,74,2,3,67,48,78,39,74,10,66,67,66,0,0,0,0,60,0,0,,,,,,,
2023-03-19 20:04:09,2023-03-19 20:06:02,IP Address,190.4.151.62,100,112,True,2023-03-19 20:06:02,R_Ry88OmaGa2h5e4F,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",24,Once per week,Never,"Crimes,Immigration,Terrorism",,100,,,,0,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,
2023-03-19 20:01:49,2023-03-19 20:07:30,IP Address,91.231.60.117,100,341,True,2023-03-19 20:07:31,R_1pRvTAACK8ITeH1,,,,,50.0585,19.9342,anonymous,EN,"Yes, continue the survey",19,Never,Never,"EU politics,Climate change,Show business & Arts",100,57,82,17,,100,77,15,37,,99,,84,49,30,88,25,45,,,,,,,,,,,,,,,,,,
2023-03-19 20:05:52,2023-03-19 20:08:17,IP Address,31.20.141.45,100,144,True,2023-03-19 20:08:17,R_30d76mux4AjyXzF,,,,,51.9357,4.4884,anonymous,EN,"Yes, continue the survey",26,Never,Once per week,"Crimes,Sports,Show business & Arts,Natural disasters",,74,68,65,,,,,,,,,,83,,90,,,,,,,,,,,,,,,,,,,,
2023-03-19 20:05:19,2023-03-19 20:08:52,IP Address,83.80.142.16,100,212,True,2023-03-19 20:08:52,R_2VKMcyJj1oOxbhh,,,,,52.1485,4.4844,anonymous,EN,"Yes, continue the survey",25,Never,2-3 times per week,"Crimes,Climate change,Show business & Arts,Space-travel,Protests,Natural disasters",25,51,26,39,0,26,52,0,62,,43,20,26,36,29,24,26,22,55,47,57,61,68,37,77,50,33,28,27,,,,,,,
2023-03-19 20:07:33,2023-03-19 20:10:08,IP Address,89.205.137.71,100,154,True,2023-03-19 20:10:08,R_1hJPsbYXxMO6b84,,,,,52.3744,4.9388,anonymous,EN,"Yes, continue the survey",24,Every day,Every day,"EU politics,Immigration,Sports,Institutional abuse,US politics,Economy",45,86,41,96,15,86,100,0,0,0,100,0,8,55,61,36,21,100,52,11,19,8,88,81,100,100,,4,0,,,,,,,
2023-03-19 20:11:09,2023-03-19 20:13:55,IP Address,213.124.184.104,100,165,True,2023-03-19 20:13:55,R_3EBjkwLlXYontg5,,,,,51.8149,5.8171,anonymous,EN,"Yes, continue the survey",22,Never,2-3 times per week,"Sports,Climate change,COVID-19,Institutional abuse,Protests,Terrorism,Natural disasters,Elections",52,52,92,30,0,86,100,0,23,58,92,62,68,78,92,68,27,11,32,0,17,19,46,20,4,9,33,33,74,,,,,,,
2023-03-19 20:12:50,2023-03-19 20:15:25,IP Address,85.144.84.168,100,155,True,2023-03-19 20:15:25,R_1B5okJRAXq37dEB,,,,,52.0565,4.328,anonymous,EN,"Yes, continue the survey",26,Every day,2-3 times per week,"Sports,Show business & Arts,Protests,Natural disasters,Elections,Economy",,,0,,19,18,,,,,,,17,13,,29,12,22,,,,,,,,,,,,,,,,,,No
2023-03-19 20:16:31,2023-03-19 20:22:27,IP Address,200.26.207.71,100,356,True,2023-03-19 20:22:28,R_3iyGkFWhJR07NTJ,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",29,Never,Multiple times per day,"EU politics,US politics,Elections,Economy",16,93,92,12,0,37,85,15,21,,100,8,6,92,100,14,100,100,74,6,83,83,86,83,4,9,92,90,96,,,,,,,
2023-03-19 20:19:58,2023-03-19 20:23:13,IP Address,217.105.56.192,100,194,True,2023-03-19 20:23:14,R_2xQcJzNxZlcnwZ7,,,,,52.0045,4.3728,anonymous,EN,"Yes, continue the survey",27,Every day,Once per week,"Climate change,Show business & Arts,COVID-19,Economy",,100,49,0,,77,56,0,100,24,41,,43,71,,70,,31,100,,,,100,49,0,45,98,48,99,,,,,,,
2023-03-19 20:19:46,2023-03-19 20:23:14,IP Address,90.196.233.96,100,208,True,2023-03-19 20:23:15,R_27OrQWUDhUj6kdC,,,,,51.5368,-0.6718,anonymous,EN,"Yes, continue the survey",22,Multiple times per day,Multiple times per day,"EU politics,Crimes,Immigration,(Ukrainian) War,Climate change,Show business & Arts,COVID-19,Britsh politics / Brexit,Institutional abuse,Space-travel,Protests,Terrorism,US politics,Natural disasters,Elections,Economy",67,88,0,88,,100,77,3,82,62,80,4,59,92,90,89,88,91,,,,,,,,,,,,,,0,,,,
2023-03-19 20:20:15,2023-03-19 20:23:30,IP Address,80.56.70.167,100,194,True,2023-03-19 20:23:31,R_3nU7l29CGDjltd6,,,,,51.8895,4.4681,anonymous,EN,"Yes, continue the survey",29,Once per week,Once per week,"EU politics,Crimes,Show business & Arts,Natural disasters",79,96,46,40,3,81,76,11,18,4,39,37,38,100,15,65,14,22,22,18,25,23,25,32,23,25,24,19,20,,,,,,,F1 results
2023-03-19 20:26:48,2023-03-19 20:29:56,IP Address,85.145.69.64,100,188,True,2023-03-19 20:29:56,R_sT43PEOjdQOZMhH,,,,,52.0565,4.328,anonymous,EN,"Yes, continue the survey",26,Never,2-3 times per week,"Crimes,Natural disasters",49,80,,51,,67,40,,87,,,,,100,46,98,33,71,0,,,,,,,,,,,,,,,,,
2023-03-19 20:28:32,2023-03-19 20:32:37,IP Address,5.173.49.95,100,244,True,2023-03-19 20:32:37,R_1jNVxf8XSDf6LcY,,,,,50.0585,19.9342,anonymous,EN,"Yes, continue the survey",23,2-3 times per week,Never,"Crimes,Show business & Arts",51,,32,80,6,60,47,,72,,18,,38,67,,54,,79,54,,,,51,66,83,,100,55,49,,,,,,,"No "
2023-03-19 20:28:04,2023-03-19 20:33:09,IP Address,102.32.8.247,100,304,True,2023-03-19 20:33:10,R_31hLdcDZdYc0vdC,,,,,-26.3811,27.8376,anonymous,EN,"Yes, continue the survey",24,2-3 times per week,2-3 times per week,"Crimes,Immigration,Institutional abuse,Economy",,,39,,,47,50,,,,,,,61,,15,0,,31,,,,,,,78,,,,,,,,,,
2023-03-19 20:33:31,2023-03-19 20:35:11,IP Address,190.4.142.111,100,100,True,2023-03-19 20:35:12,R_D2XXqP6gxVaJTCp,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",28,Every day,2-3 times per week,"EU politics,Crimes,Sports,Show business & Arts,COVID-19,Institutional abuse,Protests,US politics,Natural disasters,Elections,Economy",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2023-03-19 20:30:46,2023-03-19 20:36:21,IP Address,84.241.199.16,100,334,True,2023-03-19 20:36:21,R_3KGSVFzzJFhNeSy,,,,,51.9009,4.4945,anonymous,EN,"Yes, continue the survey",26,Once per week,2-3 times per week,"Crimes,Immigration,Sports,Climate change,Protests,Terrorism,Natural disasters,Economy",56,,55,20,,51,,,30,30,19,,,,13,,15,,,,,,,15,,9,,12,0,,,,,,,
2023-03-19 20:37:06,2023-03-19 20:38:59,IP Address,82.101.230.213,100,113,True,2023-03-19 20:39:00,R_2tbZSKmn33gx2iw,,,,,51.5304,4.4909,anonymous,EN,"Yes, continue the survey",19,Never,Never,Crimes,,,,0,,,,,18,,,,,,,,,,,,,,,,,,0,,100,,,,,,,
2023-03-19 20:35:15,2023-03-19 20:42:57,IP Address,45.84.40.170,100,461,True,2023-03-19 20:42:57,R_2wsQbi1mEdrbl5z,,,,,52.3927,4.8235,anonymous,EN,"Yes, continue the survey",23,Every day,2-3 times per week,"EU politics,Sports,(Ukrainian) War,Climate change,Show business & Arts,Terrorism,Natural disasters,Elections",100,37,12,49,5,100,73,24,100,4,100,0,91,62,100,100,100,53,48,48,0,25,6,26,47,46,12,0,81,,,,,,,Weird illnesses (like parasites)
2023-03-19 20:50:13,2023-03-19 20:52:54,IP Address,80.115.228.153,100,161,True,2023-03-19 20:52:55,R_1li9g6N30GG1CmR,,,,,52.297,4.6999,anonymous,EN,"Yes, continue the survey",26,2-3 times per week,Every day,"EU politics,Crimes,(Ukrainian) War,COVID-19,Protests,Elections,Economy",,65,,,0,69,0,,81,,,,19,47,0,,,,1,100,,100,,,,,,100,100,,,,,,,
2023-03-19 20:44:07,2023-03-19 20:56:00,IP Address,94.209.91.224,100,712,True,2023-03-19 20:56:00,R_2dRwkL9ORWre1U4,,,,,52.0628,4.5417,anonymous,EN,"Yes, continue the survey",26,Never,Multiple times per day,"Crimes,Show business & Arts,Protests",,64,100,76,,70,50,,,,47,,41,83,47,,,,54,56,83,82,82,0,30,30,,,,,,,,,,Injustice
2023-03-19 20:56:32,2023-03-19 20:59:56,IP Address,70.179.43.244,100,203,True,2023-03-19 20:59:57,R_2trN60UFFAg5nA7,,,,,32.7596,-117.0143,anonymous,EN,"Yes, continue the survey",28,Multiple times per day,Never,"Crimes,Climate change,COVID-19,Protests,Terrorism,US politics,Natural disasters,Elections",,72,63,,,100,100,,44,,0,,51,100,47,65,85,,,,,0,,,,,,,,,,,,,,Sexual Child abuse
2023-03-19 20:57:03,2023-03-19 21:01:00,IP Address,84.241.201.219,100,236,True,2023-03-19 21:01:00,R_2TI42YzMmuGOjji,,,,,51.8919,4.4923,anonymous,EN,"Yes, continue the survey",20,2-3 times per week,2-3 times per week,"EU politics,Crimes,Climate change,Britsh politics / Brexit,Natural disasters,Elections,Economy",56,55,0,,,30,31,0,,,65,,,42,,31,28,30,63,58,57,76,66,33,31,58,50,42,46,,,,,,,
2023-03-19 20:58:01,2023-03-19 21:01:35,IP Address,190.88.239.94,100,213,True,2023-03-19 21:01:35,R_snvdHheRdrcQxHj,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",25,2-3 times per week,2-3 times per week,"Show business & Arts,Economy",,,,,,67,62,,,,,,,55,21,51,,,,,,,,,,,,,,,,,,,,
2023-03-19 21:12:59,2023-03-19 21:14:57,IP Address,87.210.118.117,100,118,True,2023-03-19 21:14:57,R_3FImCBjVmW9VH9r,,,,,52.3795,4.8777,anonymous,EN,"Yes, continue the survey",25,Never,Multiple times per day,"Crimes,Show business & Arts,Protests,Natural disasters,Elections",,,,31,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19 21:12:56,2023-03-19 21:17:22,IP Address,73.137.112.99,100,265,True,2023-03-19 21:17:22,R_24Ixrk21ckiEaWn,,,,,33.7485,-84.3871,anonymous,EN,"Yes, continue the survey",25,Every day,Once per week,"Climate change,COVID-19,Protests,US politics,Natural disasters,Elections,Economy",46,74,69,53,,51,74,5,67,30,42,2,85,64,74,78,60,37,48,49,66,65,65,6,5,5,31,6,7,,,,,,,"Legal battles against human rights, human right violations, and police brutality"
2023-03-19 21:22:55,2023-03-19 21:25:44,IP Address,89.64.44.129,100,168,True,2023-03-19 21:25:45,R_Rz4GpcQsWxtFPjP,,,,,50.0585,19.9342,anonymous,EN,"Yes, continue the survey",22,Every day,2-3 times per week,"EU politics,(Ukrainian) War,Climate change,Britsh politics / Brexit,Space-travel,Economy",40,92,12,9,,100,64,,39,67,65,0,26,89,13,6,14,54,60,49,59,57,80,54,22,20,78,21,18,,,,,,,
2023-03-19 21:28:06,2023-03-19 21:31:40,IP Address,84.107.149.122,100,214,True,2023-03-19 21:31:40,R_2zzKyBpqN1IR4ib,,,,,51.9905,4.3364,anonymous,EN,"Yes, continue the survey",28,Multiple times per day,Every day,"Crimes,COVID-19,Protests,Natural disasters,Elections",16,32,8,10,6,10,43,5,40,15,22,13,22,57,13,50,26,42,13,15,60,42,23,23,38,40,35,19,69,,,,,,,
2023-03-19 21:36:22,2023-03-19 21:39:45,IP Address,86.87.71.160,100,202,True,2023-03-19 21:39:45,R_cuSB92xOoVLNdgB,,,,,51.9221,4.45,anonymous,EN,"Yes, continue the survey",26,Never,Every day,"EU politics,Israeli-Palestinian conflict,Sports,Climate change,Show business & Arts,Institutional abuse,Space-travel,Terrorism,US politics,Natural disasters,Economy",42,23,17,28,100,0,83,78,16,,74,52,4,28,97,62,2,91,73,12,30,62,100,91,76,90,90,57,0,0,,,,,,Fake news
2023-03-19 21:38:10,2023-03-19 21:44:24,IP Address,190.88.122.98,100,374,True,2023-03-19 21:44:24,R_3oT5gryiJlkuw25,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",30,Never,2-3 times per week,"Crimes,Show business & Arts,Natural disasters",,,,70,,,62,,,,,,,,,68,,,,0,,,,,,,,,,100,Child abuse,,,,,No
2023-03-19 21:44:21,2023-03-19 21:51:14,IP Address,85.144.111.227,100,413,True,2023-03-19 21:51:15,R_3OdlNaxGbO6trLi,,,,,52.0589,4.291,anonymous,EN,"Yes, continue the survey",29,Never,2-3 times per week,"Crimes,Climate change,Show business & Arts,Natural disasters",,,,0,,100,100,25,100,0,73,,53,100,,100,,73,49,11,27,27,27,27,,,0,,24,,,,,0,,
2023-03-19 21:51:06,2023-03-19 21:54:36,IP Address,86.92.195.204,100,209,True,2023-03-19 21:54:37,R_2djadnNQNmFOolZ,,,,,52.0014,6.0366,anonymous,EN,"Yes, continue the survey",20,Never,Once per week,"EU politics,Crimes,Israeli-Palestinian conflict,Show business & Arts,Institutional abuse,US politics",37,22,85,88,,12,,,52,,95,26,77,53,79,44,43,47,46,,,50,46,,,87,,,,,,,,,,"Racism/ racial profiling "
2023-03-19 22:02:53,2023-03-19 22:06:42,IP Address,80.60.226.113,100,228,True,2023-03-19 22:06:48,R_3pxnGn4wjyLZMtP,,,,,52.0874,5.1168,anonymous,EN,"Yes, continue the survey",22,Once per week,Once per week,"Crimes,Israeli-Palestinian conflict,Immigration,Space-travel,Economy",48,48,61,52,6,51,51,5,68,10,59,8,50,66,31,69,50,60,49,49,29,24,50,73,18,18,18,17,14,,,,,,,
2023-03-19 22:05:24,2023-03-19 22:07:06,IP Address,62.194.92.45,100,102,True,2023-03-19 22:07:07,R_1jHQlpMDsFWh8SI,,,,,52.3543,4.8951,anonymous,EN,"Yes, continue the survey",27,Never,Every day,"Immigration,(Ukrainian) War,Economy",16,25,12,80,0,100,0,,48,,18,,31,31,,14,18,,12,16,42,78,100,,,,19,,100,,,,,,,-
2023-03-19 22:09:15,2023-03-19 22:12:54,IP Address,83.83.62.79,100,219,True,2023-03-19 22:12:55,R_tF2asNuMjEboK0p,,,,,52.0672,5.1318,anonymous,EN,"Yes, continue the survey",25,Multiple times per day,Once per week,"EU politics,Sports,Institutional abuse,Space-travel,Natural disasters,Elections",36,49,,,0,18,65,,65,0,29,,,,39,,82,31,,,,,,,,0,,,,,,,,,,war crimes (or very detailed op-eds about this)
2023-03-19 22:11:57,2023-03-19 22:13:59,IP Address,45.84.40.165,100,122,True,2023-03-19 22:13:59,R_ut3oMPBG8XaWF5T,,,,,51.9179,4.4901,anonymous,EN,"Yes, continue the survey",24,Never,2-3 times per week,,60,97,,,4,,96,,2,,,,,,,99,,,100,100,100,100,100,100,100,100,100,100,100,,,,,,,
2023-03-19 22:14:01,2023-03-19 22:16:59,IP Address,77.172.78.90,100,178,True,2023-03-19 22:17:00,R_3nSHJLkUwyMdwIe,,,,,51.4277,5.4764,anonymous,EN,"Yes, continue the survey",23,Never,Every day,"EU politics,Crimes,(Ukrainian) War,Climate change,COVID-19,Institutional abuse,Terrorism,Natural disasters,Elections",16,27,38,24,,56,64,,77,10,66,,,69,13,37,7,,,,0,,,,,,,,,,,,,,,"Not really i guess, maybe mental health issues"
